source_id,category,provider,dataset,access_mode,endpoint_or_url,auth,temporal_coverage,update_frequency,spatial_resolution,key_variables,horizon_role,license_risk,verification,priority,next_action
mee_surface_water_realtime,water_quality,生态环境部,国家地表水水质自动监测实时数据,HTML_PUBLIC,https://szzdjc.cnemc.cn:8070/GJZ/Business/Publish/Main.html,none,current,4-hour,station,"pH,DO,CODMn,NH3-N,TP,TN,water_temperature; lake stations may include chlorophyll_a and algae_density","1-3d;7-15d",public-page-no-documented-api,V2_official,P0,"人工确认页面条款与robots；能导出则优先导出；否则申请HJ1404标准接口"
hj1404_station_protocol,water_quality,生态环境部,HJ 1404-2024水质自动监测站通信协议,STANDARD,https://www.mee.gov.cn/ywgz/fgbz/bz/bzwb/jcffbz/202501/t20250126_1101554.shtml,none,2025-present,stream,station,"station_id,time,parameter_code,value,status","1-3d;7-15d",open-standard,V1_live,P0,"授权站点接入统一按HJ1404适配"
nesdc_taihu_2007_2015,water_quality,国家生态科学数据中心,2007-2015太湖水体理化数据,API_METADATA_ORDER,https://www.nesdc.org.cn/api/sdoMetadata/5fa53680042ebb70d0c833d7,JWT-or-contact,2007-2015,monthly,8-stations,"Secchi_depth,depth,water_temperature,EC,TSS,DO,pH,SiO3,PO4,NO2,NO3,NH3,COD,TP,TN,DOC",historical-calibration,CC-BY-NC-4.0-and-download-authorization,V1_live,P1,"提交高校科研用途申请并保存许可凭证"
lake_geodata_taihu,water_quality,湖泊-流域科学数据中心,太湖水质与生态专题数据,ORDER_PORTAL,https://lake.geodata.cn/datapplication/index.html,account-and-order,historical,varies,station-or-grid,"water_quality,biology,meteorology,sediment,remote_sensing",all-historical,terms-per-dataset,V2_official,P1,"按字段清单申请并记录数据集DOI与再分发限制"
geodata_taihu_2000_2020,water_quality,国家地球系统科学数据中心,2000-2020太湖水质数据集,ORDER_PORTAL,https://www.geodata.cn/main/face_science_detail?guid=30292244868129,account-and-order,2000-2020,quarterly,14-stations,"TN,TP,chlorophyll_a,station_metadata","30-90d;calibration",dataset-license-and-login,V2_official,P1,"申请下载；禁止把季度值伪造为日观测"
cnern_taihu_monthly,water_quality,国家生态系统观测研究网络,太湖长期月度水质数据,REGISTERED_DOWNLOAD,https://www.cnern.org.cn/data/meta?id=41979,account,historical,monthly,station,"nutrients,physicochemical_parameters","7-15d;30-90d;calibration",terms-per-dataset,V2_official,P1,"注册后验证文件、字段与许可"
thqbca_zenodo,integrated,Scientific Data/Zenodo,THQBCA太湖水质蓝藻与气候综合数据,API_FILE_DIRECT,https://zenodo.org/api/records/13917285,none,historical,monthly-to-annual,station-and-grid,"water_quality,phytoplankton_biomass,phytoplankton_number,climate,water_level,FAC,chlorophyll_a,SDD,TSI",historical-training-and-calibration,CC-license-check-record,V1_live,P0,"已下载解析；固化checksum、版本和字段血缘"
biotime_taihu_phyto,algae,BioTIME,太湖浮游植物群落时间序列,FILE_DIRECT,https://biotime.st-andrews.ac.uk/selectStudy.php?study=741,none,1991-2006,study-specific,station,"species,abundance,biomass,time,location",historical-algae-calibration,terms-per-study,V2_official,P2,"下载并建立物种到蓝藻门/属映射"
wuxi_open_data,water_quality,无锡市公共数据开放平台,无锡水环境开放数据目录,PORTAL_API_APPLICATION,http://data.wuxi.gov.cn/,account-or-online-authorization,current-and-historical,varies,station,"candidate_station_water_quality,hydrology",all,individual-dataset-authorization,V3_candidate,P1,"目录检索太湖/水质/藻情；记录具体资源ID和接口文档后才启用"
zhejiang_open_data,water_quality,浙江省公共数据开放平台,湖州及环太湖水环境数据目录,PORTAL_API_APPLICATION,https://data.zjzwfw.gov.cn/dopServer/,account-or-application,current-and-historical,varies,station,"candidate_station_water_quality,hydrology",all,individual-dataset-authorization,V3_candidate,P1,"检索湖州/太湖/水质；不逆向登录接口"
